"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Negative: PUT method on getUserDetailByEmail should not return 200","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","280","API 14: GET user detail by email should return 200 and user object","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","87","Negative: GET user detail with non-existing email should not return 200","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","208","Negative: SQL injection in name field","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","86","Negative: DELETE method on searchProduct should return 405","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","144","Negative: GET with special chars in query params","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","100","API 5: Search returns products for ""jean""","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","96","Negative: SQL injection in password field","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","379","Negative: Empty string as name","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","91","Negative: Create account with only email should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","91","Negative: Empty string as email","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
